order_index,variable_df11,variable_df8,table_df8,var_in_df8,coded_na_values_df8,order_df8_tables,variable_df9,table_df9,var_in_df9,coded_na_values_df9,order_df9_tables,code_table_df9,code_col_df9,label_col_df9,variable_df10,table_df10,long_format_df10,var_in_df10,df10_removed,df10_merged,df10_aggregated_var,df10_aggregated_var_df11_mergedvars,CodedVar,varCodesValues
55,arch_funcinterp1_xlme,xlmefnc1,v205,TRUE,-1,5003,func1XlMe,archInterp,TRUE,-1,5016,Codes_FuncInterpPrim,code,description,func1XlMe,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 99=other"
56,arch_funcinterp1_oxto,oxtofnc1,v205,TRUE,-1,5004,func1Oxto,archInterp,TRUE,-1,5017,Codes_FuncInterpPrim,code,description,func1Oxto,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 99=other"
57,arch_funcinterp2_pmic,pmicfnc2,v205,TRUE,,5005,func2PMic,archInterp,TRUE,,5018,Codes_FuncInterpAltern,code,description,func2PMic,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 77=no plausible alternative to the pirmary interpretation; 99=other"
58,arch_funcinterp2_mctl,mctlfnc2,v205,TRUE,,5006,func2McTl,archInterp,TRUE,,5019,Codes_FuncInterpAltern,code,description,func2McTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 77=no plausible alternative to the pirmary interpretation; 99=other"
59,arch_funcinterp2_xlme,xlmefnc2,v205,TRUE,,5007,func2XlMe,archInterp,TRUE,,5020,Codes_FuncInterpAltern,code,description,func2XlMe,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 77=no plausible alternative to the pirmary interpretation; 99=other"
60,arch_funcinterp2_oxto,oxtofnc2,v205,TRUE,,5008,func2Oxto,archInterp,TRUE,,5021,Codes_FuncInterpAltern,code,description,func2Oxto,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 77=no plausible alternative to the pirmary interpretation; 99=other"
61,arch_cplx_archinterp1_patz,pttzcx1,v205,TRUE,-1,5009,archInt1PaTz,complexData,TRUE,-1,7004,Codes_complexGenPrim,code,description,archInt1PaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=site is not part of a complex; 1=row of two or more mounds on a long mound; 2=3-mound complex (sometimes with additional minor features); 3=4-mound complex; 4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex; 5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry; 6=walled open area complex (large compound); 7=single mound plus platform on terrace; 8=site is part of a macrocomplex but no meaningful complex; 9=other"
62,arch_cplx_archinterp1_mctl,mctlarc1,v204,TRUE,-1,4005,archInt1McTl,complexData,TRUE,-1,7005,Codes_complexGenPrim,code,description,archInt1McTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=site is not part of a complex; 1=row of two or more mounds on a long mound; 2=3-mound complex (sometimes with additional minor features); 3=4-mound complex; 4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex; 5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry; 6=walled open area complex (large compound); 7=single mound plus platform on terrace; 8=site is part of a macrocomplex but no meaningful complex; 9=other"
63,arch_cplx_archinterp1_xlmt,xlmecx1,v205,TRUE,-1,5011,archInt1XlMt,complexData,TRUE,-1,7006,Codes_complexGenPrim,code,description,archInt1XlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=site is not part of a complex; 1=row of two or more mounds on a long mound; 2=3-mound complex (sometimes with additional minor features); 3=4-mound complex; 4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex; 5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry; 6=walled open area complex (large compound); 7=single mound plus platform on terrace; 8=site is part of a macrocomplex but no meaningful complex; 9=other"
64,arch_cplx_archinterp2_patz,pttzcx2,v205,TRUE,-1,5012,archInt2PaTz,complexData,TRUE,-1,7007,Codes_complexGenAltern,code,description,archInt2PaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=site is not part of a complex; 1=row of two or more mounds on a long mound; 2=3-mound complex (sometimes with additional minor features); 3=4-mound complex; 4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex; 5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry; 6=walled open area complex (large compound); 7=single mound plus platform on terrace; 8=site is part of a macrocomplex but no meaningful complex; 9=other"
65,arch_cplx_archinterp2_mctl,mctlarc2,v204,TRUE,-1,4009,archInt2McTl,complexData,TRUE,-1,7008,Codes_complexGenAltern,code,description,archInt2McTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=site is not part of a complex; 1=row of two or more mounds on a long mound; 2=3-mound complex (sometimes with additional minor features); 3=4-mound complex; 4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex; 5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry; 6=walled open area complex (large compound); 7=single mound plus platform on terrace; 8=site is part of a macrocomplex but no meaningful complex; 9=other"
66,arch_cplx_archinterp2_xlmt,xlmecx2,v206,TRUE,-1,6002,archInt2XlMt,complexData,TRUE,-1,7009,Codes_complexGenAltern,code,description,archInt2XlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=site is not part of a complex; 1=row of two or more mounds on a long mound; 2=3-mound complex (sometimes with additional minor features); 3=4-mound complex; 4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex; 5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry; 6=walled open area complex (large compound); 7=single mound plus platform on terrace; 8=site is part of a macrocomplex but no meaningful complex; 9=other"
67,arch_cplx_funcinterp_patz,pttzcxfn,v206,TRUE,,6003,funcIntPaTz,complexData,TRUE,,7010,Codes_complexFunWhole,code,description,funcIntPaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE, -1=site not part of complex or (rarely) no information; 0=dominantly residential; 1=dominantly temples; 2=dominantly non-temple civic structures; 3=mixed; 4=mixed; 5=mixed; 6=mixed; 7=mixed; 8=mixed; 9=other
68,arch_cplx_funcinterp_mctl,mctlcxfn,v206,TRUE,,6004,funcIntMcTl,complexData,TRUE,,7011,Codes_complexFunWhole,code,description,funcIntMcTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE, -1=site not part of complex or (rarely) no information; 0=dominantly residential; 1=dominantly temples; 2=dominantly non-temple civic structures; 3=mixed; 4=mixed; 5=mixed; 6=mixed; 7=mixed; 8=mixed; 9=other
69,arch_cplx_funcinterp_xlmt,xlmecxfn,v206,TRUE,,6005,funcIntXlMt,complexData,TRUE,,7012,Codes_complexFunWhole,code,description,funcIntXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE, -1=site not part of complex or (rarely) no information; 0=dominantly residential; 1=dominantly temples; 2=dominantly non-temple civic structures; 3=mixed; 4=mixed; 5=mixed; 6=mixed; 7=mixed; 8=mixed; 9=other
70,arch_cplx_funcinterp_res_patz,pttzrsfn,v206,TRUE,,6006,funcResPaTz,complexData,TRUE,,7013,Codes_complexFunRes,code,description,funcResPaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE, -1=site not part of complex or (rarely) no information; 0=evidence suggests no part of complex was residential; 1=residential block of uncertain status; 2=low or intermediate status; 3=low or intermediate status; 4=residential block of uncertain status; 5=high status; 6=high status; 9=other
71,arch_cplx_funcinterp_res_mctl,mctlrsfn,v206,TRUE,,6007,funcResMcTl,complexData,TRUE,,7014,Codes_complexFunRes,code,description,funcResMcTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE, -1=site not part of complex or (rarely) no information; 0=evidence suggests no part of complex was residential; 1=residential block of uncertain status; 2=low or intermediate status; 3=low or intermediate status; 4=residential block of uncertain status; 5=high status; 6=high status; 9=other
72,arch_cplx_funcinterp_res_xlmt,xlmersfn,v206,TRUE,,6008,funcResXlMt,complexData,TRUE,,7015,Codes_complexFunRes,code,description,funcResXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE, -1=site not part of complex or (rarely) no information; 0=evidence suggests no part of complex was residential; 1=residential block of uncertain status; 2=low or intermediate status; 3=low or intermediate status; 4=residential block of uncertain status; 5=high status; 6=high status; 9=other
73,arch_cplx_funcinterp_tmpl_patz,pttztmfn,v206,TRUE,-1,6009,funcTmpPaTz,complexData,TRUE,-1,7016,Codes_complexFunTemp,code,description,funcTmpPaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=evidence suggests there were no temples in complex; 1=temples included; 2=temples included; 3=temples included; 4=temples included; 5=temples included; 6=temples included; 7=one or more pyramid temples included; 8=temple(s) possibly for foreign gods; 9=temples of uncertain or varied character
74,arch_cplx_funcinterp_tmpl_mctl,mctltmfn,v206,TRUE,-1,6010,funcTmpMcTl,complexData,TRUE,-1,7017,Codes_complexFunTemp,code,description,funcTmpMcTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=evidence suggests there were no temples in complex; 1=temples included; 2=temples included; 3=temples included; 4=temples included; 5=temples included; 6=temples included; 7=one or more pyramid temples included; 8=temple(s) possibly for foreign gods; 9=temples of uncertain or varied character
75,arch_cplx_funcinterp_tmpl_xlmt,xlmetmfn,v206,TRUE,-1,6011,funcTmpXlMt,complexData,TRUE,-1,7018,Codes_complexFunTemp,code,description,funcTmpXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=evidence suggests there were no temples in complex; 1=temples included; 2=temples included; 3=temples included; 4=temples included; 5=temples included; 6=temples included; 7=one or more pyramid temples included; 8=temple(s) possibly for foreign gods; 9=temples of uncertain or varied character
76,arch_cplx_funcinterp_civ_patz,pttzcvfn,v206,TRUE,-1,6012,funcCivPaTz,complexData,TRUE,-1,7019,Codes_complexFunCivic,code,description,funcCivPaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=evidence suggests none in complex; 1=present; 2=present; 3=present; 4=present; 5=present; 6=present; 9=other
77,arch_cplx_funcinterp_civ_mctl,mctlcvfn,v206,TRUE,-1,6013,funcCivMcTl,complexData,TRUE,-1,7020,Codes_complexFunCivic,code,description,funcCivMcTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=evidence suggests none in complex; 1=present; 2=present; 3=present; 4=present; 5=present; 6=present; 9=other
78,arch_cplx_funcinterp_civ_xlmt,xlmecvfn,v207,TRUE,-1,7002,funcCivXlMt,complexData,TRUE,-1,7021,Codes_complexFunCivic,code,description,funcCivXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=evidence suggests none in complex; 1=present; 2=present; 3=present; 4=present; 5=present; 6=present; 9=other
79,arch_cplx_funcinterp_other_xlmt,xlmeotfn,v207,TRUE,-1,7003,funcOthXlMt,complexData,TRUE,-1,7022,Codes_complexFunOther,code,description,funcOthXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=no other kinds of elements seem present in complex; 1=obsidian workshop; 2=stone workshop; 3=pottery workshop; 4=other kind of workshop; 5=market (or possible market); 6=market (or possible market); 7=market (or possible market); 8=market (or possible market); 9=cemetery; 10=ball court; 11=major walled compound; 12=open field
80,arch_cplx_num,cxunitn,v207,TRUE,-1,7004,complexNum,complexData,TRUE,-1,7003,,,,,,,FALSE,TRUE,FALSE,FALSE,,FALSE,
81,arch_cplx_unit,cxunit,v401,TRUE,XXXX,41006,complexUnit,complexData,TRUE,XXXX,7002,,,,complexNum,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,
82,arch_mcplx_num,mcxunitn,v207,TRUE,-1,7005,macroComplexNum,complexMacroData,TRUE,-1,6003,,,,macroComplexNum,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,
83,arch_mcplx_unit,mcxunit,v401,TRUE,XXXX,41007,macroComplexUnit,complexMacroData,TRUE,XXXX,6002,,,,,,,FALSE,TRUE,FALSE,FALSE,,FALSE,
84,arch_mcplx_patz,pttzmcx,v207,TRUE,-1,7006,presPaTz,complexMacroData,TRUE,-1,6004,Codes_McomplexGen,code,description,presPaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=site not part of a macrocomplex; 1=site part of a possible macrocomplex; 2=site part of a macrocomplex
85,arch_mcplx_mctl,mctlmcx,v207,TRUE,-1,7007,presMcTl,complexMacroData,TRUE,-1,6005,Codes_McomplexGen,code,description,presMcTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=site not part of a macrocomplex; 1=site part of a possible macrocomplex; 2=site part of a macrocomplex
86,arch_mcplx_xlmt,xlmemcx,v207,TRUE,-1,7008,presXlMt,complexMacroData,TRUE,-1,6006,Codes_McomplexGen,code,description,presXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=site not part of a macrocomplex; 1=site part of a possible macrocomplex; 2=site part of a macrocomplex
87,arch_mcplx_funcinterp_patz,pttzcxfn,v206,TRUE,-1,6003,funcIntPaTz,complexMacroData,TRUE,-1,6007,Codes_McomplexFun,code,description,MfuncIntPaTz,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=dominantly residential; 1=dominantly temples; 2=dominantly non-temple civic structures; 3=mixed; 4=mixed; 5=mixed; 6=mixed; 7=mixed; 8=mixed; 9=other
88,arch_mcplx_funcinterp_mctl,mctlcxfn,v206,TRUE,-1,6004,funcIntMcTl,complexMacroData,TRUE,-1,6008,Codes_McomplexFun,code,description,MfuncIntMcTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=dominantly residential; 1=dominantly temples; 2=dominantly non-temple civic structures; 3=mixed; 4=mixed; 5=mixed; 6=mixed; 7=mixed; 8=mixed; 9=other
89,arch_mcplx_funcinterp_xlmt,xlmecxfn,v206,TRUE,-1,6005,funcIntXlMt,complexMacroData,TRUE,-1,6009,Codes_McomplexFun,code,description,MfuncIntXlMt,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=dominantly residential; 1=dominantly temples; 2=dominantly non-temple civic structures; 3=mixed; 4=mixed; 5=mixed; 6=mixed; 7=mixed; 8=mixed; 9=other
90,arch_neighborhood,nhoodchr,v207,TRUE,-1,7012,neighborhoodChar,archinterp,TRUE,-1,5002,Codes_neighborhoodChar,code,description,neighborhoodChar,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=other sites arranged more or less compactly in neighbourhood; 2=other sites arranged more or less compactly in neighbourhood; 3=other sites arranged more or less compactly in neighbourhood; 4=other sites arranged more or less compactly in neighbourhood; 5=other sites arranged more or less compactly in neighbourhood; 6=other sites arranged more or less compactly in neighbourhood; 7=part of isolated site cluster; 8=isolated site; 9=other
91,arch_situ_freestandwall,frstndwl,v207,TRUE,-1,7013,freeStandWall,archMaterial,TRUE,-1,4031,Codes_otherArchFeatures,code,description,freeStandWall,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=none observed in site; 8=present in site; 9=other, including possibly present"
92,arch_situ_wells,wells,v208,TRUE,-1,8002,wells,archMaterial,TRUE,-1,4028,Codes_otherArchFeatures,code,description,wells,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=none observed in site; 8=present in site; 9=other, including possibly present"
93,arch_situ_jagueys,jagueys,v208,TRUE,-1,8003,jagueys,archMaterial,TRUE,-1,4029,Codes_otherArchFeatures,code,description,jaguey,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=none observed in site; 8=present in site; 9=other, including possibly present"
94,arch_situ_puestos,puestos,v208,TRUE,-1,8004,puestos,archMaterial,TRUE,-1,4030,Codes_otherArchFeatures,code,description,puestos,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=none observed in site; 8=present in site; 9=other, including possibly present"
95,mod_veg_milpa,milpa,v208,TRUE,-1,8005,milpa,condition,TRUE,-1,3002,Codes_vegetation,code,description,milpa,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
96,mod_veg_barley,barley,v208,TRUE,-1,8006,barley,condition,TRUE,-1,3003,Codes_vegetation,code,description,barley,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
97,mod_veg_beans,beans,v208,TRUE,-1,8007,beans,condition,TRUE,-1,3004,Codes_vegetation,code,description,beans,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
98,mod_veg_alfalfacut,cutalfal,v208,TRUE,-1,8008,alfalfaCut,condition,TRUE,-1,3005,Codes_vegetation,code,description,alfalfaCut,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
99,mod_veg_alfalfauncut,uncalfal,v208,TRUE,-1,8009,alfalfaUncut,condition,TRUE,-1,3006,Codes_vegetation,code,description,alfalfaUncut,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
100,mod_veg_nopales,nopales,v208,TRUE,-1,8010,nopales,condition,TRUE,-1,3007,Codes_vegetation,code,description,nopales,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
101,mod_veg_magueys,magueys,v208,TRUE,-1,8011,magueys,condition,TRUE,-1,3008,Codes_vegetation,code,description,magueys,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
102,mod_veg_fallow,fallowld,v208,TRUE,-1,8012,fallow,condition,TRUE,-1,3009,Codes_vegetation,code,description,fallow,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
103,mod_veg_uncultivate,uncultiv,v208,TRUE,-1,8013,uncultivate,condition,TRUE,-1,3010,Codes_vegetation,code,description,uncultivate,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=this kind of vegetation absent; 1=present in a small portion of site or very scattered; 2=present over a moderate part of site, or moderately thick; 3=present but extent or density not recorded; 4=abundant or dense on all or most of site"
104,mod_cropwater,cropwatr,v209,TRUE,-1,9002,cropWater,condition,TRUE,-1,3011,Codes_water,code,description,cropWater,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=humedad; 1=temporal; 2=reigo (used if any part of site in riego); 3=flood water
105,mod_plowing,plowing,v209,TRUE,-1,9003,plowing,condition,TRUE,-1,3012,Codes_plowing,code,description,plowing,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=there is reason to think the site was never plowed; 1=probably plowed in the past, but not in recent years; 2=part of site in plow cultivation, but much not; 3=most or all in plow cultivation, but not freshly plowed; 4=part of site freshly plowed; 5=most or all of site freshly plowed"
106,mod_disturb_pitcultivate,cultpits,v209,TRUE,-1,9004,pitCultivate,condition,TRUE,-1,3013,Codes_altering_features,code,description,pitCultivate,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=absent or virtually absent; 1=present, but sparse or limited in effects; 2=present in sufficient degree to have considerable effect; 3=present, but degree unspecified; 4=present in sufficient degree to have a very strong effect; 5=present in a degree that amounts to total destruction"
107,mod_disturb_pit_loot,lootpits,v209,TRUE,-1,9005,pitLoot,condition,TRUE,-1,3014,Codes_altering_features,code,description,pitLoot,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=absent or virtually absent; 1=present, but sparse or limited in effects; 2=present in sufficient degree to have considerable effect; 3=present, but degree unspecified; 4=present in sufficient degree to have a very strong effect; 5=present in a degree that amounts to total destruction"
108,mod_disturb_archaeoexcav,archexcv,v209,TRUE,-1,9006,archaeoExcRest,condition,TRUE,-1,3016,Codes_altering_features,code,description,archaeoExcRest,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=absent or virtually absent; 1=present, but sparse or limited in effects; 2=present in sufficient degree to have considerable effect; 3=present, but degree unspecified; 4=present in sufficient degree to have a very strong effect; 5=present in a degree that amounts to total destruction"
109,mod_disturb_pit_misc,miscpits,v209,TRUE,-1,9007,pitMisc,condition,TRUE,-1,3015,Codes_altering_features,code,description,pitMisc,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=absent or virtually absent; 1=present, but sparse or limited in effects; 2=present in sufficient degree to have considerable effect; 3=present, but degree unspecified; 4=present in sufficient degree to have a very strong effect; 5=present in a degree that amounts to total destruction"
